Тур,Дата,Хозяева,Гости
1,3.05,ФК Петьял,ФК Карамассы
1,3.05,ФК Приволжск,ФК Помары
1,3.05,ФК Сотнур,ФК Ярамор
1,3.05,ФК Эмеково,ФК Часовенная
2,10.05,ФК Карамассы,ФК Параты
2,10.05,ФК Петьял,ФК Ярамор
2,10.05,ФК Помары,ФК Часовенная
2,10.05,ФК Сотнур,ФК Эмеково
3,17.05,ФК Параты,ФК Приволжск
3,17.05,ФК Карамассы,ФК Ярамор
3,17.05,ФК Петьял,ФК Эмеково
3,17.05,ФК Сотнур,ФК Помары
4,24.05,ФК Ярамор,ФК Параты
4,24.05,ФК Часовенная,ФК Приволжск
4,24.05,ФК Эмеково,ФК Карамассы
4,24.05,ФК Помары,ФК Петьял
5,31.05,ФК Параты,ФК Часовенная
5,31.05,ФК Ярамор,ФК Эмеково
5,31.05,ФК Приволжск,ФК Сотнур
5,31.05,ФК Карамассы,ФК Помары
6,7.06,ФК Эмеково,ФК Параты
6,7.06,ФК Сотнур,ФК Часовенная
6,7.06,ФК Ярамор,ФК Помары
6,7.06,ФК Петьял,ФК Приволжск
7,14.06,ФК Параты,ФК Сотнур
7,14.06,ФК Помары,ФК Эмеково
7,14.06,ФК Часовенная,ФК Петьял
7,14.06,ФК Приволжск,ФК Карамассы
8,21.06,ФК Параты,ФК Помары
8,21.06,ФК Петьял,ФК Сотнур
8,21.06,ФК Карамассы,ФК Часовенная
8,21.06,ФК Ярамор,ФК Приволжск
9,28.06,ФК Параты,ФК Петьял
9,28.06,ФК Сотнур,ФК Карамассы
9,28.06,ФК Эмеково,ФК Приволжск
9,28.06,ФК Часовенная,ФК Ярамор
10,05.07,ФК Петьял,ФК Параты
10,05.07,ФК Карамассы,ФК Сотнур
10,05.07,ФК Приволжск,ФК Эмеково
10,05.07,ФК Ярамор,ФК Часовенная
11,12.07,ФК Помары,ФК Параты
11,12.07,ФК Сотнур,ФК Петьял
11,12.07,ФК Часовенная,ФК Карамассы
11,12.07,ФК Приволжск,ФК Ярамор
12,19.07,ФК Сотнур,ФК Параты
12,19.07,ФК Эмеково,ФК Помары
12,19.07,ФК Петьял,ФК Часовенная
12,19.07,ФК Карамассы,ФК Приволжск
13,26.07,ФК Параты,ФК Эмеково
13,26.07,ФК Часовенная,ФК Сотнур
13,26.07,ФК Помары,ФК Ярамор
13,26.07,ФК Приволжск,ФК Петьял
14,02.08,ФК Часовенная,ФК Параты
14,02.08,ФК Эмеково,ФК Ярамор
14,02.08,ФК Сотнур,ФК Приволжск
14,02.08,ФК Помары,ФК Карамассы
15,09.08,ФК Параты,ФК Ярамор
15,09.08,ФК Приволжск,ФК Часовенная
15,09.08,ФК Карамассы,ФК Эмеково
15,09.08,ФК Петьял,ФК Помары
16,16.08,ФК Приволжск,ФК Параты
16,16.08,ФК Ярамор,ФК Карамассы
16,16.08,ФК Эмеково,ФК Петьял
16,16.08,ФК Помары,ФК Сотнур
17,23.08,ФК Параты,ФК Карамассы
17,23.08,ФК Ярамор,ФК Петьял
17,23.08,ФК Часовенная,ФК Помары
17,23.08,ФК Эмеково,ФК Сотнур
18,30.08,ФК Карамассы,ФК Петьял
18,30.08,ФК Помары,ФК Приволжск
18,30.08,ФК Ярамор,ФК Сотнур
18,30.08,ФК Часовенная,ФК Эмеково
